Experiment,Final Fitness,Shapes,Iterations,Time (min)
HC - L1 (Manhattan),14905297,77,32375,5.000151002407074
GA Tournament - L1 (Manhattan),15972816,34,2932,5.001658078034719
Hill Climbing,1267678366,98,28379,5.000201177597046
Simulated Annealing,1274659258,85,31450,5.000243171056112
HC - Circle,1282411478,278,11748,5.000171999136607
HC - Rect,1288553853,92,28852,5.000128722190857
HC - Ellipse,1304357202,152,16374,5.000252628326416
GA - Circle,1306600710,86,2178,5.002283251285553
HC - L2 (SSD),1310606311,94,28405,5.000162827968597
GA - Ellipse,1349751590,53,2607,5.0000170509020485
GA Greedy,1353826460,58,1959,5.001925893624624
GA Tournament - L2 (SSD),1362545324,41,2681,5.001895741621653
GA Greedy (No Heuristic),1365388304,72,1799,5.002557754516602
GA Greedy (With Heuristic),1372014995,76,1686,5.0017931381861365
GA Tournament,1375076614,44,2641,5.00170529683431
GA - Rect,1390785173,41,2735,5.001608276367188
GA Tournament (No Heuristic),1393830903,43,2274,5.000610466798147
GA Tournament (With Heuristic),1409651148,51,2102,5.001467943191528
HC - Triangle,2269221255,132,23075,5.000315237045288
GA - Triangle,2571440004,63,2665,5.00055605173111
